Event Desc|En No|Site Name|Licensee Name|Region No|City Name|State Cd|County Name|License No|Agreement State Ind|Docket No|Unit Ind1|Unit Ind2|Unit Ind3|Reactor Type|Nrc Notified By|Ops Officer|Notification Dt|Notification Time|Event Dt|Event Time|Time Zone|Last Updated Dt|Emergency Class|Cfr Cd1|Cfr Descr1|Cfr Cd2|Cfr Descr2|Cfr Cd3|Cfr Descr3|Cfr Cd4|Cfr Descr4|Staff Name1|Org Abbrev1|Staff Name2|Org Abbrev2|Staff Name3|Org Abbrev3|Staff Name4|Org Abbrev4|Staff Name5|Org Abbrev5|Staff Name6|Org Abbrev6|Staff Name7|Org Abbrev7|Staff Name8|Org Abbrev8|Staff Name9|Org Abbrev9|Staff Name10|Org Abbrev10|Scram Code 1|RX CRIT 1|Initial PWR 1|Initial RX Mode1|Current PWR 1|Current RX Mode 1|Scram Code 2|RX CRIT 2|Initial PWR 2|Initial RX Mode 2|Current PWR 2|Current RX Mode 2|Scram Code 3|RX CRIT 3|Initial PWR 3|Initial RX Mode 3|Current PWR 3|Current RX Mode 3|Event Text|
Power Reactor|46666|KEWAUNEE|NUCLEAR MANAGEMENT COMPANY|3|KEWAUNEE|WI|KEWAUNEE||Y|05000305|1|||[1] W-2-LP|SCOTT CIESLEWICZ|MARK ABRAMOVITZ|3/10/2011 00:00:00|18:29|3/10/2011 00:00:00|15:49|CST|3/10/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(iv)(A)|VALID SPECIF SYS ACTUATION|50.72(b)(3)(xiii)|LOSS COMM/ASMT/RESPONSE|||||BILLY DICKSON|R3DO|||||||||||||||||||N|N|0|Refueling Shutdown|0|Refueling Shutdown|N|N|0||0||N|N|0||0||INADVERTANT OPENING A SUBSTATION BREAKER CAUSING LOSS OF STATION POWER  "At 1549 on 03/10/2011 with the plant shut down and the reactor defueled, power was lost to Safeguards 4160 Volt Bus 6.  Diesel Generator B started and re-energized Bus 6.  "At the time of the event, Bus 6 was energized from the Main Auxiliary Transformer (MAT) on backfeed.  The event was caused by opening of substation breaker TA2066 as the result of an error by technicians working In the substation.  "All equipment operated as expected for the voltage restoration to Safeguards Bus 6.  Safeguards Bus 5 remained energized from offsite power through the Tertiary Auxiliary Transformer during the event.  "Spent Fuel Pool Cooling Train A remained In operation during the event.  Spent Fuel Cooling Train B was restarted following restoration of power to Bus 6.  "The loss of the MAT also resulted in the loss of non-safeguards 4160 V Buses 1-4.  In response to the loss of power to Bus 4, the Technical Support Center (TSC) / Station Blackout (SBO) Diesel started and failed to load onto 480 Volt Bus 46.  This resulted in a loss of power to the Technical Support Center.  The loss of power to the TSC is being reported as a loss of Emergency Assessment Capability.  At 1632, the TSC/SBO Diesel Generator tripped due to the failure of the output breaker to close and provide power to its support equipment.  The cause of the failure of the TSC/SBO output breaker to close is unknown at this time."  The licensee is investigating the cause of the breaker being opened and failure of the TSC/SBO diesel to load.  One Spent Fuel Pool cooling train was in service throughout the event and no pool heatup occurred.  The licensee notified the NRC Resident Inspector.|
Power Reactor|46667|NINE MILE POINT|CONSTELLATION NUCLEAR|1|SYRACUSE|NY|OSWEGO||Y|05000220|1|2||[1] GE-2,[2] GE-5|DAN COLEMAN|JOE O'HARA|3/11/2011 00:00:00|02:32|3/10/2011 00:00:00|20:15|EST|3/11/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(xiii)|LOSS COMM/ASMT/RESPONSE|||||||SAM HANSELL|R1DO|||||||||||||||||||N|Y|91|Power Operation|91|Power Operation|N|Y|100|Power Operation|100|Power Operation|N|N|0||0||LOSS OF PRIMARY AND BACKUP METEROLOGICAL MONITORING EQUIPMENT ON BOTH TOWERS  "Loss of power to radiological monitoring equipment (primary and backup).  This constitutes a major loss of emergency assessment capability per Nine Mile Point procedures. The cause of the loss of monitoring equipment is a downed 13.2 kV power line.  Monitoring capability was restored at 0100."  The loss of power was caused by high winds, and the grid operator was able to restore power at 0100 EST.  The NRC Resident Inspector has been notified.|
Power Reactor|46668|DIABLO CANYON|PACIFIC GAS & ELECTRIC CO.|4|SAN LUIS OBISPO COUNTY|CA|SAN LUIS OBISPO||Y|05000275|1|2||[1] W-4-LP,[2] W-4-LP|K.R.THOMPSON|JOE O'HARA|3/11/2011 00:00:00|04:40|3/11/2011 00:00:00|01:23|PST|3/11/2011 00:00:00|UNUSUAL EVENT|50.72(a) (1) (i)|EMERGENCY DECLARED|||||||THOMAS FARNHOLTZ|R4DO|JANE MARSHALL|IRD|ELMO COLLINS|RA|JACK GROBE|NRR|JONES|DHS|BISCOE|FEMA|||||||||N|Y|100|Power Operation|100|Power Operation|N|Y|100|Power Operation|100|Power Operation|N|N|0||0||NOTICE OF UNUSUAL EVENT AS A RESULT OF A TSUNAMI WARNING IN THE AREA  The licensee declared a notice of unusual event as a result of a tsunami warning issued for the coastal areas of California.  The tsunami warning is a result of a 8.9 magnitude earthquake off the coast of Japan.  The licensee is in EAL HU1.5, 'Tsunami Affecting the Protected Area.'  The NRC remains in the normal response mode.   The NRC Resident Inspector has been notified.  * * * UPDATE AT 1134 EST ON 3/11/2011 FROM MIKE QUITTER TO JOE O'HARA * * *   "A classification of unusual event was declared at 0123 PST on March 11, 2011 due to a tsunami warning issued by the NOAA for the California West Coast.  Diablo Canyon Power Plant [DCPP] has implemented the requirements of Casualty Procedure M-5, 'Response to Tsunami Warning.'  Plant personnel were evacuated from the DCPP intake structure at 0742 PST.  Evacuation of personnel from the intake structure constitutes a deviation from DCPP license condition '2.E' and authorized pursuant to 10CFR50.54(x).  "No damage or injuries has been observed as a result of this tsunami event and there is no impact on the health and safety of the general public."  Notified the R4DO (Farnholtz), R4RA (Collins), IRD (Marshall), and NRR (Grobe).  * * * UPDATE AT 1843 EST ON 3/11/2011 FROM JOHN BECERRA TO MARK ABRAMOVITZ * * *  Diablo Canyon has terminated their Unusual Event at 1528 PST because the tsunami warning has been reduced to a tsunami advisory.  No damage occurred during this event.  Notified the R4DO (Farnholtz), IRD (Gott),  NRR (Galloway), DHS (Gates), and FEMA (O'Connell)|
Fuel Cycle Facility|46669|GLOBAL NUCLEAR FUEL - AMERICAS|GLOBAL NUCLEAR FUEL - AMERICAS|2|WILMINGTON|NC|NEW HANOVER|SNM-1097|Y|07001113||||URANIUM FUEL FABRICATION|JULIE OLIVIER|PETE SNYDER|3/11/2011 00:00:00|08:15|3/10/2011 00:00:00|09:15|EST|3/11/2011 00:00:00|NON EMERGENCY|PART 70 APP A (b)(2)|LOSS OR DEGRADED SAFETY ITEMS|||||||RANDY MUSSER|R2DO|BRIAN SMITH|NMSS|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||MALFUNCTIONING VALVE LEADS TO A LOSS OF DEFENSE IN DEPTH  "During a performance of temporary operating procedure on a laser optical device, it was identified that one of two valves used to isolate the device failed to operate.   The valves are operated as a pair and the valves are redundant to provide defense in depth.  One valve shut as expected.  The second valve did not shut.  "The valves are identified as an Item Relied on For Safety (IROFS).   The system was not operating and one of the valves operated as designed. No unsafe condition existed.  "Operability of both valves is required to meet the performance requirements of 10CFR70.61.    "This event is being reported pursuant to the requirements of 10CFR70 Appendix A(b)(2) within 24 hours. The affected device will remain shutdown pending further investigation and implementation of associated corrective actions.  "[This event is of] low safety significance - the discovery did not result in an unsafe condition."|
Hospital|46670|STATE OF FLORIDA|ANAZAOHEALTH CORPORATION|1|Tampa|FL||2975-1|Y||||||STEVE FURNACE|JOHN SHOEMAKER|3/14/2011 00:00:00|10:53|3/9/2011 00:00:00||EST|3/14/2011 00:00:00|NON EMERGENCY||AGREEMENT STATE|||||||GLENN DENTEL|R1DO|ANGELA MCINTOSH|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE - DOSE MORE THAN PRESCRIBED  "This information was provided by Danny Ray Jisha, Incident Investigator, Texas Department of State Health Services (DSHS).  Two patients identified to have been over dosed with Phosporus-32 (P-32).  The first patient received 565 Gy where 300 Gy was prescribed, and the second patient received 507 Gy where 200 Gy was prescribed.  It is suspected that Anazaohealth Corporation [Florida] supplied incorrect concentrations/doses of P-32.  The Tampa, Florida Inspection Office will investigate."  The over dose took place at the University of Texas Southwestern Medical Center, Dallas, Texas, however the cause appears to be due to improper labeling of the dose material at Anazaohealth Corporation in Tampa, Florida.  This event is being investigated by the State of Florida, Florida Incident # FL11-020, and the State of Texas.  A Medical Event may indicate potential problems in a medical facility's use of radioactive materials.  It does not necessarily result in harm to the patient.|
Agreement State|46672|NORTH DAKOTA DEPARTMENT OF HEALTH|SANJEL CORP|4||ND|MCKENZIE||Y||||||DAVID STRADINGER|JOHN KNOKE|3/14/2011 00:00:00|23:01|3/13/2011 00:00:00||MST|3/15/2011 00:00:00|NON EMERGENCY||AGREEMENT STATE|||||||CHUCK CAIN|R4DO|ANGELA MCINTOSH|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - NUCLEAR GAUGES RECOVERED FROM OIL RIG FIRE  North Dakota Department of Health (NDDH) notified the NRC of two nuclear gauges affected by a fire at an oil rig in Mckenzie County, North Dakota.  The fire is out and one gauge has been retrieved with the shield intact with no unusual radiation readings.  The second gauge has also been retrieved. There is no damage apparent to the second gauge except for some shifting of the lead shielding around the gauge. There was no unusual radiation levels, exposure or contamination impact to personnel.  The gauges are Thermo-Fisher Scientific, model 5192.   Arrangements are being made to ship both gauges to the manufacture for inspection and repair.|
Power Reactor|46673|CRYSTAL RIVER|FLORIDA POWER CORP.|2|CRYSTAL RIVER|FL|CITRUS||Y|05000302|3|||[3] B&W-L-LP|WILLIAM KISNER|JOHN SHOEMAKER|3/15/2011 00:00:00|15:16|3/14/2011 00:00:00|13:11|EST|3/15/2011 00:00:00|NON EMERGENCY||OTHER UNSPEC REQMNT|||||||REBECCA NEASE|R2DO|||||||||||||||||||N|N|0|Cold Shutdown|0|Cold Shutdown|N|N|0||0||N|N|0||0||ADDITIONAL DELAMINATED CONTAINMENT CONCRETE DISCOVERED  "Crystal River Unit 3 is currently shutdown.  Final tendon re-tensioning activities were being conducted following repair of delaminated (separated) concrete at the periphery of the containment wall.  At approximately 1311 [EDT] on March 14, 2011, an indication was received from acoustic monitoring instrumentation located on the containment wall outside the previously repaired area.  Re-tensioning activities were stopped and Plant Operations verified that there were no changes in plant parameters.  Non-destructive examinations were initiated and preliminary indications are that there is delaminated concrete in the area identified by the acoustic monitoring.  An assessment concluded that the containment continues to maintain the closure-pressure retaining capability required for Mode 5.  There continues to be no threat to the public heath and safety.  "Delaminated concrete at the periphery of the containment wall was created in late 2009 during the process of creating an opening in the structure to remove and replace the steam generators inside (Reference Event Report 45416).  The unit was already shut down for refueling and maintenance at the time the damage was found and has remained shut down."  The extent of newly discovered delaminated has not yet been determined.   The licensee plans to make a press release.  The licensee has notified the NRC Resident Inspector and the Florida Public Service Commission.|
Power Reactor|46674|FORT CALHOUN|OMAHA PUBLIC POWER DISTRICT|4|FORT CALHOUN|NE|WASHINGTON||Y|05000285|1|||(1) CE|ERICK MATZKE|JOHN KNOKE|3/15/2011 00:00:00|16:25|3/15/2011 00:00:00|14:56|CST|3/15/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||||||CHUCK CAIN|R4DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||FLOOD BARRIER PENETRATION NOT SEALED  "During investigations of flood barrier penetrations, a 4 inch conduit has been identified that is not sealed. This conduit penetrates the South wall of the auxiliary building near the transformers into room 19. Flooding through the penetrations could have impacted the ability of the station's auxiliary feedwater (AFW) pumps to perform their design accident mitigation functions.  "This eight-hour notification is being made pursuant to 10 CFR 50.72 (b)(3)(v).  "The penetration is at an elevation of 1007'-8". The river level has been less than 995 feet Mean Sea Level (MSL) since prior to December 1, 2010. The AFW pumps are operable. There are not any indications of conditions that might result in a flood. Actions are in progress to plug the penetration."  The licensee has notified the NRC Resident Inspector.|
Agreement State|46675|MISSISSIPPI DIV OF RAD HEALTH|LEAF RIVER CELLULOSE|4|NEW AUGUSTA|MS||MS-565-02|Y||||||JULIA RALSTON|MARK ABRAMOVITZ|3/15/2011 00:00:00|16:43|1/10/2011 00:00:00||CDT|3/15/2011 00:00:00|NON EMERGENCY||AGREEMENT STATE|||||||CHUCK CAIN|R4DO|CHRISTEPHER MCKENNEY|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||DAMAGED FIXED GAUGE SAMPLE WHEEL  The following report was received via fax.  "Licensee's RSO contacted DRH [Mississippi Department of Radiological Health] by letter to report a malfunction of the sample wheel mechanism in their basis weight fixed gauge (Model No. BWM-H Beta Gauge, Gauge Serial No. 25630138, Source Model No. Amersham Corporation Model SIC.L5, Source Serial No. HW338).  The device manufacturer was contacted and a representative removed the original faulty basis weight source head and replaced it with a refurbished unit.  The replacement did not function, so the original source head was repaired and reattached.  A leak test, survey and inspection were all conducted.  As a precaution, the licensee ordered a refurbished source head and the manufacturer's representative came out to replace the original faulty source head.  A leak test, survey and inspection were conducted.  Leak tests revealed no contamination and surveys were normal."  Source:  Sr-90, 15 mCi  Mississippi Tracking Number:  MS-11002|
Power Reactor|46676|NORTH ANNA|DOMINION GENERATION|2|RICHMOND|VA|LOUISA||N|05000338|1|2||[1] W-3-LP,[2] W-3-LP|DON TAYLOR|JOHN KNOKE|3/15/2011 00:00:00|17:38|3/15/2011 00:00:00|11:31|EDT|3/15/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(xiii)|LOSS COMM/ASMT/RESPONSE|||||||REBECCA NEASE|R2DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|Y|100|Power Operation|100|Power Operation|N|N|0||0||LOSS OF POWER TO TECHNICAL SUPPORT CENTER VENTILATION SYSTEM  "On 03/15/2011 at 1131 EDT, the Technical Support Center (TSC) ventilation system was rendered nonfunctional as a result of loss of power to the system. System power was lost approximately one hour after returning the normal power supply to service following maintenance. This condition has the potential to render the TSC unavailable due to the inability of the ventilation and filtration system to maintain a habitable atmosphere. Compensatory measures exist to relocate the TSC to alternate locations.  "On 03/15/2011 at 1545 EDT, after verifying the bus supplying the TSC ventilation was satisfactory for return to service, power was restored using an alternate feed. This notification is being made in accordance with 10CFR50.72(b)(3)(xiii) due to the potential loss of an emergency response facility.  "The NRC Senior Resident Inspector was notified."|
Power Reactor|46677|PEACH BOTTOM|EXELON NUCLEAR CO.|1|PHILADELPHIA|PA|YORK & LANCASTER||N|05000277|2|||[2] GE-4,[3] GE-4|CHRIS WEICHLER|HOWIE CROUCH|3/17/2011 00:00:00|00:01|3/16/2011 00:00:00|16:47|EDT|3/17/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||||||DON JACKSON|R1DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||N|N|0||0||HIGH PRESSURE COOLANT INJECTION DECLARED INOPERABLE  "On 03/16/11, at 1647 [EST], Peach Bottom Atomic Power Station Unit 2 declared the High Pressure Coolant Injection system inoperable for a condition found during testing which could cause the system to malfunction when swapping suction sources. While lined up to the suppression pool suction flow path, unsatisfactory results were obtained while venting for system fill verification, indicating potential voiding of a portion of the pump discharge piping. Unit 2 HPCI remains available while aligned to its normal suction, the condensate storage tank.  "This report is being submitted pursuant to 10CFR 50.72(b)(3)(v)(D).  "The NRC resident has been informed of this notification."|
Power Reactor|46678|CATAWBA|DUKE ENERGY NUCLEAR LLC|2|YORK|SC|YORK||Y|05000413|1|2||[1] W-4-LP,[2] W-4-LP|MATTHEW PARKER|DONALD NORWOOD|3/17/2011 00:00:00|13:58|3/17/2011 00:00:00|12:50|EDT|3/17/2011 00:00:00|NON EMERGENCY|50.72(b)(2)(xi)|OFFSITE NOTIFICATION|||||||REBECCA NEASE|R2DO|||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|Y|100|Power Operation|100|Power Operation|N|N|0||0||OFFSITE NOTIFICATION DUE TO VEHICLE FIRE  "Vehicle fire outside the protected area in the owner controlled area.  Offsite fire department contacted and responded to site.  Fire has been extinguished.  Fire was limited to vehicle and no plant equipment was affected.  Event had no affect on plant operation."  The licensee notified the State of North Carolina, the State of South Carolina, York county, Gaston county, and Mecklenburg county.  The licensee notified the NRC Resident Inspector.|
Hospital|46679|LIBERTY HOSPITAL|LIBERTY HOSPITAL|3|LIBERTY|MO||24-16178-01|N||||||CHRIS MOORE|STEVE SANDIN|3/17/2011 00:00:00|16:21|7/1/2007 00:00:00||CDT|3/17/2011 00:00:00|NON EMERGENCY|20.2201(a)(1)(i)|LOST/STOLEN LNM>1000X|||||||KENNETH RIEMER|R3DO|CHRISTEPHER MCKENNEY|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||TEN TRITIUM EXIT SIGNS DISCOVERED MISSING  On 6/5/2007 during an NRC Inspection, ten (10) tritium exit signs were verified in storage.  Approximately one month later in July 2007, the RSO noticed that the signs were gone and assumed that his Director had dispositioned them, i.e., returned them to the manufacturer for disposal.  On 3/17/2011 at 0800 CDT, in response to a followup question from an NRC Inspector onsite 3/16/2011, it was determined there was no documentation associated with the transfer or disposal of these signs.  The licensee contacted the NRC Inspector who was still in the area and informed her of this situation.  The licensee has no information on the manufacturer, activity or serial numbers of the missing exit signs.  THIS MATERIAL EVENT CONTAINS A "LESS THAN CAT 3" LEVEL OF RADIOACTIVE MATERIAL  Sources that are "Less than IAEA Category 3 sources," are either sources that are very unlikely to cause permanent injury to individuals or contain a very small amount of radioactive material that would not cause any permanent injury. Some of these sources, such as moisture density gauges or thickness gauges that are Category 4, the amount of unshielded radioactive material, if not safely managed or securely protected, could possibly - although it is unlikely - temporarily injure someone who handled it or were otherwise in contact with it, or who were close to it for a period of many weeks. For additional information go to  http://www-pub.iaea.org/MTCD/publications/PDF/Pub1227_web.pdf  This source is not amongst those sources or devices identified by the IAEA Code of Conduct for the Safety & Security of Radioactive Sources to be of concern from a radiological standpoint.  Therefore is it being categorized as a less than Category 3 source|
Power Reactor|46680|MILLSTONE|DOMINION GENERATION|1|WATERFORD|CT|NEW LONDON||N|||2||[1] GE-3,[2] CE,[3] W-4-LP|WAYNE HARRELSON|JOE O'HARA|3/18/2011 00:00:00|05:32|3/18/2011 00:00:00|01:45|EDT|3/30/2011 00:00:00|NON EMERGENCY|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||||||DON JACKSON|R1DO|||||||||||||||||||N|N|0||0||N|Y|100|Power Operation|100|Power Operation|N|N|0||0||CONTROL ROOM BOUNDARY RENDERED INOPERABLE  "On March 17, 2011 during a control room walk-down, it was discovered that a halon bottle located in the control room was removed from its associated piping for scheduled work.  The open piping penetrates the control room boundary rendering it inoperable.    "Technical Specification 3.7.6.1 'Control Room Emergency Ventilation System' is applicable in Modes 1, 2, 3, 4, 5 and 6 was entered.  Since control room boundary was rendered inoperable, Dominion is reporting that this condition could have prevented the fulfillment of the safety function to mitigate the consequences of an accident.  Upon discovery the piping was capped re-establishing the control room boundary.    "Further engineering review will be conducted to more fully evaluate the impact on the control room boundary.    "This condition is being reported pursuant to 10 CFR 50.72(b)(3)(v)(D)."  Offsite power is normal and all emergency diesel generators are operable.  There was no increase in plant risk.     The NRC Senior Resident Inspector has been notified.  * * * UPDATE AT 1002 EDT ON 03/30/11 FROM WAYNE WOOLERY TO S. SANDIN * * *   The Licensee is retracting this report based on the following:  "On March 17, 2011 during a control room walk down at Millstone Power Station Unit 2, it was discovered that a halon bottle located in the control room was removed from its associated piping for scheduled work. Since the associated piping penetrates the control room boundary, operators declared the control room boundary inoperable. Upon discovery, the piping was capped re-establishing the control room boundary.   "Operators made a report in accordance with 10CFR50.72(b)(3)(v)(D).  "Subsequently, an engineering evaluation has been completed that concludes that the piping opening created by the removal of the halon bottle would not have prevented the fulfillment of the safety function to mitigate the consequences of an accident. Therefore, the condition reported in event report 46680 is being retracted.   "The NRC Resident Inspector has been notified."  Notified R1DO (Powell).|
Power Reactor|46681|MCGUIRE|DUKE POWER|2|CORNELIUS|NC|MECKLENBURG||Y|05000369|1|2||[1] W-4-LP,[2] W-4-LP|JIM DAIN|CHARLES TEAL|3/18/2011 00:00:00|14:40|3/18/2011 00:00:00||EDT|3/18/2011 00:00:00|NON EMERGENCY|21.21|UNSPECIFIED PARAGRAPH|||||||REBECCA NEASE|R2DO|PART 21 GROUP||||||||||||||||||N|Y|100|Power Operation|100|Power Operation|N|N|0|Refueling|0|Refueling|N|N|0||0||PAINT CHIPS DISCOVERED IN WOODWARD GOVERNORS  Woodward governors purchased as nuclear safety related items for use in turbine driven auxiliary feedwater pumps and emergency diesel generators, were found to have paint chips on internal surfaces.  These governors were manufactured by Woodward Governor Company, Loveland, CO for use at the McGuire Nuclear Station.  The NRC Resident Inspector has been informed.|
Fuel Cycle Facility|46682|HONEYWELL INTERNATIONAL, INC.|HONEYWELL INTERNATIONAL, INC.|2|METROPOLIS|IL|MASSAC|SUB-526|Y|04003392||||URANIUM HEXAFLUORIDE PRODUCTION|BOB STOKER|CHARLES TEAL|3/18/2011 00:00:00|16:30|3/8/2011 00:00:00|12:30|CDT|3/18/2011 00:00:00|NON EMERGENCY|40.60(b)(3)|MED TREAT INVOLVING CONTAM|||||||REBECCA NEASE|R2DO|MICHAEL TSCHILTZ|NMSS|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||UNPLANNED MEDICAL TREATMENT OF POTENTIALLY CONTAMINATED INDIVIDUAL  "A contract employee entered the onsite medical facility with a laceration on his right arm.  First aid was administered in preparation for transferring to an offsite medical facility.  The employee had spreadable contamination on his clothing (60dpm/100cm2).  The employee was decontaminated before leaving the site.  The employee received 8 stitches at the offsite medical facility."|
Agreement State|46683|MINNESOTA DEPARTMENT OF HEALTH|ABBOTT NORTHWESTERN HOSPITAL|3|MINNEAPOLIS|MN||1007-209-27|Y||||||BRYCE ARMSTRONG|DONALD NORWOOD|3/18/2011 00:00:00|16:13|3/17/2011 00:00:00||CDT|3/18/2011 00:00:00|NON EMERGENCY||AGREEMENT STATE|||||||KENNETH RIEMER|R3DO|CHRISTEPHER MCKENNEY|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - YTTRIUM-90 MICROSPSHERES ADMINISTERED AT 150% OF PRESCRIBED DOSE  "A medical event took place at Abbott-Northwestern Hospital involving a Yttrium-90 (Y-90) SIR microsphere therapy patient treated on 3/17/2011.  It was discovered on 3/18/11, by the radiation oncologist covering the SIRS procedure from the day before, that the delivered amount of Y-90 SIRS wasn't 105% above the prescribed dose as intended, but actually 150% above the prescribed dose.  She then brought this error to the attention of the lead medical physicist who was the attending medical physicist responsible for this treatment delivery, for further clarification.  Upon investigation, it was deduced that the medical physicist had not read the patient's SIRS therapy (utilizing Y-90 radioactive isotope) written directive prescription correctly.  A higher than intended dosage was administered to the patient (1.66 GBq).  The correct dosage that was intended to be administered per the written directive was 1.11 GBq.  After calculation was made after the incident it was determined that the intended dose to the liver was 30.72 Gy and the actual dose to the liver was 45.93 Gy.   "Contributing factors to the above error identified by the licensee are as follows: "1. The amount of information presented in the SIRS written directive and the prescribed amount of isotope is hard to discern and is not set apart from all the other numbers presented. "2. The prescribed activity is manually transferred to a secondary worksheet used in Nuclear Medicine to draw the dose to be administered and this secondary activity worksheet is not verified by a secondary party.     "The licensee stated that to prevent such an event from occurring in the future, the SIRS written directive document will be modified to display the prescribed activity more predominantly on the form as well as a space for initializing by a secondary party that the prescribed dose has been transferred/entered properly on the secondary activity worksheet that is used in Nuclear Medicine to draw the dose to be administered.  "The referring physicians as well as the patient have been or are in the process of being notified of this event.  "According to the licensee's Radiation Oncologist and Interventional Radiologist that were asked to consult, this higher dose would slightly increase the patient's risk of radiation-induced liver disease.  The patient, as is standard for all SIRS (Y-90) patients, will receive liver function follow-up testing to track her status."   A Medical Event may indicate potential problems in a medical facility's use of radioactive materials.  It does not necessarily result in harm to the patient.|
Agreement State|46684|MINNESOTA DEPARTMENT OF HEALTH|BOISE CASCADE PAPER CORPORATION|3|INTERNATIONAL FALLS|MN||5011-100-36|Y||||||BRANDON JURAN|DONALD NORWOOD|3/18/2011 00:00:00|17:34|3/18/2011 00:00:00||CDT|3/18/2011 00:00:00|NON EMERGENCY||AGREEMENT STATE|||||||KENNETH RIEMER|R3DO|CHRISTEPHER MCKENNEY|FSME|||||||||||||||||N|N|0||0||N|N|0||0||N|N|0||0||AGREEMENT STATE REPORT - DENSITY GAUGE STUCK SHUTTER  "The licensee Radiation Safety Officer (RSO) was performing a routine shutter check on a density gauge (Berthold model LB7440); the shutter was difficult to turn so the RSO used pliers to move the shutter to the indicated closed position. The shutter did not close.  The detector on the gauge was still reading the same as when the shutter was indicated open. The RSO contacted the manufacturer and is in the process of scheduling them to service the device. The RSO tagged the gauge with a do not operate tag warning people of the problem."|
Power Reactor|46685|WOLF CREEK|WOLF CREEK NUCLEAR OPERATING CORP.|4|BURLINGTON|KS|COFFEY||Y|05000482|1|||[1] W-4-LP|MARCY BLOW|VINCE KLCO|3/19/2011 00:00:00|06:54|3/19/2011 00:00:00|04:04|CDT|3/19/2011 00:00:00|NON EMERGENCY|50.72(b)(2)(iv)(A)|ECCS INJECTION|50.72(b)(3)(iv)(A)|VALID SPECIF SYS ACTUATION|50.72(b)(3)(v)(D)|ACCIDENT MITIGATION|||CHUCK CAIN|R4DO|||||||||||||||||||N|N|0|Hot Standby|0|Hot Standby|N|N|0||0||N|N|0||0||SAFETY INJECTION DISCHARGE TO THE REACTOR  "Following a scheduled plant shutdown for refueling the operators were forced to close the Main Steam Isolation Valves (MSIV's) to limit plant cooldown.  While opening MSIV's to restore steam to the secondary, a Reactor Trip and Safety Injection (SI) occurred.  The MSIV bypass valves were opened to equalize pressure across the MSIV's.  Steam header pressure dipped when the MSIV for 'C' Steam Generator (S/G) was opened.  The low steamline pressure bistables are rate sensitive and actuated to cause the SI when steam pressure dipped.  Lowest steamline pressure was 1040 psig, the low steam line pressure SI actuates at 615 psig.    "During the SI the PZR [Pressurizer] PORV's cycled approximately 10 times to limit RCS pressure.  When the PORV's opened the 'B' PZR Code Safety Main Control Board (MCB) and plant computer alarm actuated but the actual MCB indication did not change nor does plant response indicate that a PZR Code Safety opened.  This appears to be an indication problem related to the PORV's cycling."  "All equipment functioned as required."  The station electric buses are aligned to normal offsite power.  Decay heat removal is being discharged to the atmospheric relief valves with no indication of primary to secondary leakage.    The licensee notified the NRC Resident Inspector.   * * * UPDATE FROM MARCY BLOW TO DONALD NORWOOD AT 1221 EDT ON 3/19/2011 * * *  "1.  The expected system actuations that occurred when the plant experienced a Safety Injection (SI) 03/19/11 at 04:04 CDT, previously reported on EN 46685 for 10CFR50.72(b)(2)(iv)(A), is also reportable under 10CFR50.72(b)(3)(iv)(A) for Specified System Actuation.    "2.  During the recovery of the Safety Injection (SI) actuation that occurred 03/19/11 at 04:04 CDT and previously reported on EN 46685, the Safety Injection Signal was reset which blocked any further automatic actuation.  This was directed per the appropriate procedure step.  There is no Technical Specifications allowed condition for both trains of ECCS to be inoperable, therefore the unit entered Tech. Spec. 3.0.3 due to the Auto SI feature being blocked.  LCO 3.5.2 action C.1. directs immediate entry into LCO 3.0.3.  The entry into TS 3.0.3 was made at 0411 CDT and exited at 0639 CDT when the Reactor Trip Breakers were reclosed which re-enabled the automatic SI signal.  This is reportable under 10CFR50.72(b)(3)(v)(D) for Accident Mitigation.  "NRC Resident was notified of the update."  Notified R4DO(Cain).|
