AIANHH,STATE,COUNTY,COUSUBCE,RT,CODE,POP,VAPOP,VACIT,VACLANG,VACLEP,ILLIT,CILLIT,LEPPCT,ILLRAT,FENG5I,FENG10I,NAME1,STABRV,NAME21,RACEGP
0000,15,003,000,6,005,193720,131615,111270,53015,24815,2590,3720,406,1044,,#,Honolulu County,HI,,FILIPINO
0000,15,003,000,6,008,228850,179645,169865,31955,13865,730,1700,227,527,,#,Honolulu County,HI,,JAPANESE
0000,15,009,000,1,,128240,95620,87800,17975,8340,850,1285,950,1019,,,Maui County,HI,,TOTAL PERSONS
0000,15,009,000,6,005,34610,22945,18620,9105,5350,700,865,609,1308,*,,Maui County,HI,,FILIPINO
0000,17,031,000,1,,5376740,3983965,3429235,706130,271600,24165,56895,792,890,,,Cook County,IL,,TOTAL PERSONS
0000,17,031,000,2,,1071240,690630,385080,320400,131530,16590,24055,384,1261,,#,Cook County,IL,,SPANISH/HISPANIC/LATINO
0000,17,031,000,6,004,54325,42495,26200,21040,11645,1090,1305,034,936,,#,Cook County,IL,,CHINESE (INCLUDING TAIWANESE)
0000,17,089,000,1,,404120,281835,244270,34095,13470,1465,2625,551,1088,,,Kane County,IL,,TOTAL PERSONS
0000,17,089,000,2,,95965,58975,26260,21895,10055,1360,1715,412,1353,,#,Kane County,IL,,SPANISH/HISPANIC/LATINO
0000,20,055,000,1,,40525,26625,21125,4705,1775,200,525,840,1127,,,Finney County,KS,,TOTAL PERSONS
0000,20,055,000,2,,17555,9970,5045,3755,1420,140,270,672,986,*,,Finney County,KS,,SPANISH/HISPANIC/LATINO
0000,20,057,000,1,,32460,22415,17620,2800,1220,155,325,692,1270,,,Ford County,KS,,TOTAL PERSONS
0000,20,057,000,2,,12250,7245,2850,2230,990,150,230,562,1515,*,,Ford County,KS,,SPANISH/HISPANIC/LATINO
0000,20,067,000,1,,7910,5325,4795,1055,315,65,130,657,2063,,,Grant County,KS,,TOTAL PERSONS
0000,20,067,000,2,,2760,1580,1070,970,305,65,110,636,2131,*,,Grant County,KS,,SPANISH/HISPANIC/LATINO
0000,20,081,000,1,,4305,2890,2620,365,160,20,70,611,1250,,,Haskell County,KS,,TOTAL PERSONS
0000,20,081,000,2,,1025,560,360,295,140,20,40,534,1429,*,,Haskell County,KS,,SPANISH/HISPANIC/LATINO
0000,20,093,000,1,,4530,2970,2680,335,150,40,65,560,2667,,,Kearny County,KS,,TOTAL PERSONS
0000,20,093,000,2,,1205,650,390,270,135,35,55,504,2593,*,,Kearny County,KS,,SPANISH/HISPANIC/LATINO
0000,20,175,000,1,,22510,15300,11715,2365,1260,140,260,1076,1111,,,Seward County,KS,,TOTAL PERSONS
0000,20,175,000,2,,9520,5540,2320,1960,1160,135,170,990,1164,*,,Seward County,KS,,SPANISH/HISPANIC/LATINO
0000,24,031,000,1,,873340,652760,539745,109060,35895,1935,3800,665,539,,,Montgomery County,MD,,TOTAL PERSONS
0000,24,031,000,2,,100310,69790,30855,25990,10055,825,1165,186,820,,#,Montgomery County,MD,,SPANISH/HISPANIC/LATINO
0000,25,009,065,1,,72045,49065,35570,17600,7795,830,1430,2191,1065,,,"Lawrence city, Essex County",MA,,TOTAL PERSONS
0000,25,009,065,2,,43100,26560,14830,13530,6410,700,1015,1802,1092,*,,"Lawrence city, Essex County",MA,,SPANISH/HISPANIC/LATINO
0000,25,013,050,1,,39840,28095,27230,10130,4500,685,1155,1653,1522,,,"Holyoke city, Hampden County",MA,,TOTAL PERSONS
0000,25,013,050,2,,16350,8970,8655,7895,3840,640,915,1410,1667,*,,"Holyoke city, Hampden County",MA,,SPANISH/HISPANIC/LATINO
0000,25,013,090,1,,152080,108265,102490,28040,12300,1875,3155,1200,1524,,,"Springfield city, Hampden County",MA,,TOTAL PERSONS
0000,25,013,090,2,,41360,23675,22720,20170,9560,1630,2290,933,1705,*,,"Springfield city, Hampden County",MA,,SPANISH/HISPANIC/LATINO
0000,25,025,005,1,,589140,473265,388580,83215,34360,3530,7445,884,1027,,,"Boston city, Suffolk County",MA,,TOTAL PERSONS
0000,25,025,005,2,,85200,57845,33595,28270,11820,1370,2125,304,1159,,#,"Boston city, Suffolk County",MA,,SPANISH/HISPANIC/LATINO
0000,25,025,010,1,,35080,25525,16735,6395,2890,400,675,1727,1384,,,"Chelsea city, Suffolk County",MA,,TOTAL PERSONS
0000,25,025,010,2,,16965,11140,4920,4445,2160,335,420,1291,1551,*,,"Chelsea city, Suffolk County",MA,,SPANISH/HISPANIC/LATINO
0000,25,027,225,1,,17215,12825,12480,3215,1320,200,315,1058,1515,,,"Southbridge town, Worcester County",MA,,TOTAL PERSONS
0000,25,027,225,2,,3555,2035,1950,1735,930,160,195,745,1720,*,,"Southbridge town, Worcester County",MA,,SPANISH/HISPANIC/LATINO
0000,26,005,025,1,,2125,1485,1370,260,90,25,45,657,2778,,,"Clyde township, Allegan County",MI,,TOTAL PERSONS
0000,26,005,025,2,,665,380,265,230,75,25,35,547,3333,*,,"Clyde township, Allegan County",MI,,SPANISH/HISPANIC/LATINO
0000,31,037,000,1,,10440,7415,6260,910,475,65,80,759,1368,,,Colfax County,NE,,TOTAL PERSONS
0000,31,037,000,2,,2775,1710,570,530,385,60,65,615,1558,*,,Colfax County,NE,,SPANISH/HISPANIC/LATINO
0000,32,003,000,1,,1375765,1025435,890870,139845,48520,4170,9265,545,859,,,Clark County,NV,,TOTAL PERSONS
0000,32,003,000,2,,301830,191600,97230,66985,27020,3275,4605,303,1212,,#,Clark County,NV,,SPANISH/HISPANIC/LATINO
0000,34,003,000,1,,884120,681680,587765,138580,48050,2445,5435,818,509,,,Bergen County,NJ,,TOTAL PERSONS
0000,34,003,000,2,,91465,66315,43400,36260,12885,485,715,219,376,,#,Bergen County,NJ,,SPANISH/HISPANIC/LATINO
0000,34,011,000,1,,146440,109260,104560,18025,7135,820,2860,682,1149,,,Cumberland County,NJ,,TOTAL PERSONS
0000,34,011,000,2,,27710,18145,14935,12980,5685,665,1065,544,1170,*,,Cumberland County,NJ,,SPANISH/HISPANIC/LATINO
0000,34,013,000,1,,793635,587645,505855,111105,42710,4410,10300,844,1033,,,Essex County,NJ,,TOTAL PERSONS
0000,34,013,000,2,,122770,86445,59000,51885,23065,2245,3255,456,973,,#,Essex County,NJ,,SPANISH/HISPANIC/LATINO
0000,34,017,000,1,,608975,472045,351620,152085,66595,5895,9870,1894,885,,,Hudson County,NJ,,TOTAL PERSONS
0000,34,017,000,2,,242235,176775,105975,96760,47440,4190,5510,1349,883,*,#,Hudson County,NJ,,SPANISH/HISPANIC/LATINO
0000,34,023,000,1,,750160,573200,483500,112140,37580,2585,5085,777,688,,,Middlesex County,NJ,,TOTAL PERSONS
0000,34,023,000,2,,102115,69975,43635,36615,14200,1430,1850,294,1007,,#,Middlesex County,NJ,,SPANISH/HISPANIC/LATINO
0000,34,031,000,1,,489050,362035,296065,90325,38440,3160,6430,1298,822,,,Passaic County,NJ,,TOTAL PERSONS
0000,34,031,000,2,,146680,99860,56190,51695,24270,2105,2950,820,867,*,#,Passaic County,NJ,,SPANISH/HISPANIC/LATINO
0000,34,039,000,1,,522540,393045,330195,82935,33330,2830,5285,1009,849,,,Union County,NJ,,TOTAL PERSONS
0000,34,039,000,2,,102850,74030,40920,36695,17235,1030,1465,522,598,*,#,Union County,NJ,,SPANISH/HISPANIC/LATINO
0000,35,000,000,1,,1819045,1311480,1230735,427295,108925,15110,25430,885,1387,,,,NM,,TOTAL PERSONS
0000,35,000,000,2,,765610,507185,441360,306135,74855,9890,15535,608,1321,*,,,NM,,SPANISH/HISPANIC/LATINO
0000,35,001,000,1,,556680,416060,390395,106300,23275,1745,3940,596,750,,,Bernalillo County,NM,,TOTAL PERSONS
0000,35,001,000,2,,233525,159150,139625,81570,18140,1505,2860,465,830,+,#,Bernalillo County,NM,,SPANISH/HISPANIC/LATINO
0000,35,003,000,1,,3545,2805,2775,480,115,10,45,414,870,,,Catron County,NM,,TOTAL PERSONS
0000,35,003,000,2,,670,500,485,345,80,10,30,288,1250,+,,Catron County,NM,,SPANISH/HISPANIC/LATINO
0000,35,005,000,1,,61380,43570,39765,11170,3615,670,1185,909,1853,,,Chaves County,NM,,TOTAL PERSONS
0000,35,005,000,2,,27015,16770,13295,9835,3220,620,930,810,1925,*,,Chaves County,NM,,SPANISH/HISPANIC/LATINO
0000,35,006,000,1,,25595,17745,17525,8615,2185,240,475,1247,1098,,,Cibola County,NM,,TOTAL PERSONS
0000,35,006,000,2,,8440,5790,5635,3850,750,65,165,428,867,+,,Cibola County,NM,,SPANISH/HISPANIC/LATINO
0000,35,007,000,1,,14190,10630,10455,3065,590,65,170,564,1102,,,Colfax County,NM,,TOTAL PERSONS
0000,35,007,000,2,,6740,4630,4520,2660,490,45,125,469,918,+,,Colfax County,NM,,SPANISH/HISPANIC/LATINO
0000,35,009,000,1,,45045,31490,30085,6555,1760,280,520,585,1591,,,Curry County,NM,,TOTAL PERSONS
0000,35,009,000,2,,13685,8250,7450,5465,1370,260,360,455,1898,+,,Curry County,NM,,SPANISH/HISPANIC/LATINO
0000,35,011,000,1,,2240,1705,1675,530,175,35,50,1045,2000,,,De Baca County,NM,,TOTAL PERSONS
0000,35,011,000,2,,775,550,525,470,160,35,50,955,2188,*,,De Baca County,NM,,SPANISH/HISPANIC/LATINO
0000,35,013,000,1,,174680,122850,105280,49800,14640,2770,4035,1391,1892,,,Dona Ana County,NM,,TOTAL PERSONS
0000,35,013,000,2,,110805,71165,54725,44985,13770,2725,3765,1308,1979,*,#,Dona Ana County,NM,,SPANISH/HISPANIC/LATINO
0000,35,015,000,1,,51660,36825,35620,10540,3010,685,1115,845,2276,,,Eddy County,NM,,TOTAL PERSONS
0000,35,015,000,2,,20130,12685,11715,9470,2715,660,880,762,2431,*,,Eddy County,NM,,SPANISH/HISPANIC/LATINO
0000,35,017,000,1,,31000,22885,22500,8805,2205,270,455,980,1224,,,Grant County,NM,,TOTAL PERSONS
0000,35,017,000,2,,15155,10235,9920,7950,2015,265,400,896,1315,*,,Grant County,NM,,SPANISH/HISPANIC/LATINO
0000,35,019,000,1,,4680,3535,3430,2430,485,45,95,1414,928,,,Guadalupe County,NM,,TOTAL PERSONS
0000,35,019,000,2,,3790,2785,2690,2295,440,45,95,1283,1023,*,,Guadalupe County,NM,,SPANISH/HISPANIC/LATINO
0000,35,021,000,1,,810,645,635,290,65,10,15,1024,1538,,,Harding County,NM,,TOTAL PERSONS
0000,35,021,000,2,,370,290,280,245,65,10,15,1024,1538,*,,Harding County,NM,,SPANISH/HISPANIC/LATINO
0000,35,023,000,1,,5930,4050,3730,1675,495,105,155,1327,2121,,,Hidalgo County,NM,,TOTAL PERSONS
0000,35,023,000,2,,3335,2115,1800,1525,460,100,130,1233,2174,*,,Hidalgo County,NM,,SPANISH/HISPANIC/LATINO
0000,35,025,000,1,,55510,38780,35315,9095,2455,560,1045,695,2281,,,Lea County,NM,,TOTAL PERSONS
0000,35,025,000,2,,21975,13205,9865,8245,2330,550,835,660,2361,*,,Lea County,NM,,SPANISH/HISPANIC/LATINO
0000,35,027,000,1,,19410,15005,14370,2625,695,80,165,484,1151,,,Lincoln County,NM,,TOTAL PERSONS
0000,35,027,000,2,,4980,3310,2785,2080,560,75,110,390,1339,+,,Lincoln County,NM,,SPANISH/HISPANIC/LATINO
0000,35,028,000,1,,18345,13595,13055,1320,290,4,30,222,138,,,Los Alamos County,NM,,TOTAL PERSONS
0000,35,028,000,2,,2160,1430,1390,635,115,4,4,088,348,+,,Los Alamos County,NM,,SPANISH/HISPANIC/LATINO
0000,35,029,000,1,,25015,17535,14625,5635,1715,250,435,1173,1458,,,Luna County,NM,,TOTAL PERSONS
0000,35,029,000,2,,14480,8725,5895,5070,1610,250,365,1101,1553,*,,Luna County,NM,,SPANISH/HISPANIC/LATINO
0000,35,031,000,1,,74800,46430,45805,30845,10835,2350,3225,2365,2169,,,McKinley County,NM,,TOTAL PERSONS
0000,35,031,000,2,,9305,5710,5220,2655,685,50,155,150,730,+,,McKinley County,NM,,SPANISH/HISPANIC/LATINO
0000,35,031,000,4,021,46825,27200,27200,22710,8510,2205,2940,1858,2591,*,,McKinley County,NM,,NAVAJO
0000,35,033,000,1,,5180,3790,3775,2865,1010,110,125,2675,1089,,,Mora County,NM,,TOTAL PERSONS
0000,35,033,000,2,,4235,3030,3020,2735,985,110,125,2609,1117,*,,Mora County,NM,,SPANISH/HISPANIC/LATINO
0000,35,035,000,1,,62300,43945,40040,9810,2580,265,500,644,1027,,,Otero County,NM,,TOTAL PERSONS
0000,35,035,000,2,,19980,12210,9915,7005,1960,215,315,490,1097,+,,Otero County,NM,,SPANISH/HISPANIC/LATINO
0000,35,037,000,1,,10155,7625,7435,2030,425,40,100,572,941,,,Quay County,NM,,TOTAL PERSONS
0000,35,037,000,2,,3860,2620,2470,1820,370,40,55,498,1081,+,,Quay County,NM,,SPANISH/HISPANIC/LATINO
0000,35,039,000,1,,41190,29440,28420,19875,4405,425,660,1550,965,,,Rio Arriba County,NM,,TOTAL PERSONS
0000,35,039,000,2,,30060,21030,20105,17230,4025,405,595,1416,1006,*,,Rio Arriba County,NM,,SPANISH/HISPANIC/LATINO
0000,35,041,000,1,,18020,12995,12530,3025,860,160,295,686,1860,,,Roosevelt County,NM,,TOTAL PERSONS
0000,35,041,000,2,,6055,3835,3390,2635,765,155,220,611,2026,*,,Roosevelt County,NM,,SPANISH/HISPANIC/LATINO
0000,35,043,000,1,,89910,63305,61655,19740,4715,465,730,765,986,,,Sandoval County,NM,,TOTAL PERSONS
0000,35,043,000,2,,26425,17060,16095,9690,1430,90,225,232,629,+,,Sandoval County,NM,,SPANISH/HISPANIC/LATINO
0000,35,045,000,1,,113800,76715,75220,26465,8210,1880,2780,1091,2290,,,San Juan County,NM,,TOTAL PERSONS
0000,35,045,000,2,,16985,10470,9230,5115,1080,140,260,144,1296,+,,San Juan County,NM,,SPANISH/HISPANIC/LATINO
0000,35,045,000,4,021,40150,24470,24460,19375,6730,1705,2295,895,2533,*,,San Juan County,NM,,NAVAJO
0000,35,047,000,1,,30125,21820,21355,14135,3100,285,495,1452,919,,,San Miguel County,NM,,TOTAL PERSONS
0000,35,047,000,2,,23470,16415,16210,13300,2900,285,470,1358,983,*,,San Miguel County,NM,,SPANISH/HISPANIC/LATINO
0000,35,049,000,1,,129290,98305,90570,31550,5990,415,940,661,693,,,Santa Fe County,NM,,TOTAL PERSONS
0000,35,049,000,2,,63460,44300,38155,25540,5060,390,730,559,771,*,,Santa Fe County,NM,,SPANISH/HISPANIC/LATINO
0000,35,051,000,1,,13270,10620,10145,1720,310,45,110,306,1452,,,Sierra County,NM,,TOTAL PERSONS
0000,35,051,000,2,,3475,2275,1835,1300,250,45,65,246,1800,+,,Sierra County,NM,,SPANISH/HISPANIC/LATINO
0000,35,053,000,1,,18080,12980,12235,5285,1555,195,280,1271,1254,,,Socorro County,NM,,TOTAL PERSONS
0000,35,053,000,2,,8780,5845,5335,3790,870,105,160,711,1207,*,,Socorro County,NM,,SPANISH/HISPANIC/LATINO
0000,35,055,000,1,,29980,22635,21975,12170,2755,130,275,1254,472,,,Taos County,NM,,TOTAL PERSONS
0000,35,055,000,2,,17390,12350,11900,10125,2395,120,240,1090,501,*,,Taos County,NM,,SPANISH/HISPANIC/LATINO
0000,35,057,000,1,,16910,11790,11425,3130,690,110,175,604,1594,,,Torrance County,NM,,TOTAL PERSONS
0000,35,057,000,2,,6280,4055,3740,2625,600,110,165,525,1833,*,,Torrance County,NM,,SPANISH/HISPANIC/LATINO
0000,35,059,000,1,,4175,3030,2985,700,205,35,45,687,1707,,,Union County,NM,,TOTAL PERSONS
0000,35,059,000,2,,1455,965,925,645,200,35,45,670,1750,*,,Union County,NM,,SPANISH/HISPANIC/LATINO
0000,35,061,000,1,,66150,46345,43935,15030,3505,385,750,798,1098,,,Valencia County,NM,,TOTAL PERSONS
0000,35,061,000,2,,36365,23430,21215,13230,2980,375,600,678,1258,*,,Valencia County,NM,,SPANISH/HISPANIC/LATINO
0000,36,005,000,1,,1332650,936800,736155,342160,142620,16210,30120,1937,1137,,,Bronx County,NY,,TOTAL PERSONS
0000,36,005,000,2,,645220,424505,309145,277275,119365,13930,20050,1621,1167,*,#,Bronx County,NY,,SPANISH/HISPANIC/LATINO
0000,36,047,000,1,,2465325,1806665,1381820,537560,239625,24500,46985,1734,1022,,,Kings County,NY,,TOTAL PERSONS
0000,36,047,000,2,,488165,334475,232095,201185,84760,11455,16745,613,1351,*,#,Kings County,NY,,SPANISH/HISPANIC/LATINO
0000,36,047,000,6,004,125210,94930,51290,47055,33635,4480,5075,243,1332,,#,Kings County,NY,,CHINESE (INCLUDING TAIWANESE)
0000,36,059,000,1,,1334545,1006360,912745,160615,49135,3610,8865,538,735,,,Nassau County,NY,,TOTAL PERSONS
0000,36,059,000,2,,133040,93535,50940,39250,14820,1480,2045,162,999,,#,Nassau County,NY,,SPANISH/HISPANIC/LATINO
0000,36,061,000,1,,1537195,1281595,1033015,311950,124230,16360,26330,1203,1317,,,New York County,NY,,TOTAL PERSONS
0000,36,061,000,2,,418005,306620,198945,172150,80140,10855,14595,776,1355,*,#,New York County,NY,,SPANISH/HISPANIC/LATINO
0000,36,061,000,6,004,90740,76040,41770,34250,21070,4495,5220,204,2133,,#,New York County,NY,,CHINESE (INCLUDING TAIWANESE)
0000,36,081,000,1,,2229380,1721955,1229615,518340,225530,16650,31070,1834,738,,,Queens County,NY,,TOTAL PERSONS
0000,36,081,000,2,,556485,403630,221685,195100,84460,6750,9385,687,799,*,#,Queens County,NY,,SPANISH/HISPANIC/LATINO
0000,36,081,000,6,004,147895,117625,66715,60520,37865,3050,3695,308,805,,#,Queens County,NY,,CHINESE (INCLUDING TAIWANESE)
0000,36,081,000,6,009,63905,50080,18525,17410,11835,765,860,096,646,,#,Queens County,NY,,KOREAN
0000,36,103,000,1,,1419370,1049905,978075,125675,37565,2690,9265,384,716,,,Suffolk County,NY,,TOTAL PERSONS
0000,36,103,000,2,,149420,101250,65380,46530,16685,1410,2200,171,845,,#,Suffolk County,NY,,SPANISH/HISPANIC/LATINO
0000,36,119,000,1,,923460,693565,589300,116025,37590,3340,8100,638,889,,,Westchester County,NY,,TOTAL PERSONS
0000,36,119,000,2,,144550,100270,52375,42085,16305,1490,2035,277,914,,#,Westchester County,NY,,SPANISH/HISPANIC/LATINO
0000,40,057,000,1,,3285,2440,2400,405,160,45,70,667,2813,,,Harmon County,OK,,TOTAL PERSONS
0000,40,057,000,2,,725,430,400,360,145,45,50,604,3103,*,,Harmon County,OK,,SPANISH/HISPANIC/LATINO
0000,40,139,000,1,,20105,14290,12350,1780,840,125,240,680,1488,,,Texas County,OK,,TOTAL PERSONS
0000,40,139,000,2,,5970,3610,1825,1460,720,120,205,583,1667,*,,Texas County,OK,,SPANISH/HISPANIC/LATINO
0000,42,101,000,1,,1517550,1134680,1071785,149020,60365,6030,19835,563,999,,,Philadelphia County,PA,,TOTAL PERSONS
0000,42,101,000,2,,128300,80055,70980,59365,25660,3420,5035,239,1333,,#,Philadelphia County,PA,,SPANISH/HISPANIC/LATINO
0000,44,007,010,1,,18930,13455,9455,4850,2185,320,520,2311,1465,,,"Central Falls city, Providence County",RI,,TOTAL PERSONS
0000,44,007,010,2,,9080,5955,2840,2575,1305,115,155,1380,881,*,,"Central Falls city, Providence County",RI,,SPANISH/HISPANIC/LATINO
0000,44,007,065,1,,173620,128400,103995,29100,11870,1420,2645,1141,1196,,,"Providence city, Providence County",RI,,TOTAL PERSONS
0000,44,007,065,2,,52045,31650,16470,14745,7395,780,975,711,1055,*,,"Providence city, Providence County",RI,,SPANISH/HISPANIC/LATINO
0000,46,113,000,1,,12465,6855,6825,2375,450,15,85,659,333,,,Shannon County,SD,,TOTAL PERSONS
0000,46,113,000,4,031,11090,5900,5900,2155,400,15,85,586,375,*,,Shannon County,SD,,SIOUX
0000,46,121,000,1,,9050,5075,5045,1415,265,4,15,525,151,,,Todd County,SD,,TOTAL PERSONS
0000,46,121,000,4,031,7345,3885,3885,1375,265,4,10,525,151,*,,Todd County,SD,,SIOUX
0000,46,137,000,1,,2520,1500,1495,415,110,4,15,736,364,,,Ziebach County,SD,,TOTAL PERSONS
0000,46,137,000,4,031,1700,890,890,355,105,4,15,702,381,*,,Ziebach County,SD,,SIOUX
0000,48,000,000,1,,20851820,14977890,13299845,3109195,1005865,169295,323405,756,1683,,,,TX,,TOTAL PERSONS
0000,48,000,000,2,,6670120,4287445,2972990,2441785,818185,159225,230525,615,1946,*,,,TX,,SPANISH/HISPANIC/LATINO
0000,48,001,000,1,,55110,43745,42740,1655,500,80,1710,117,1600,,,Anderson County,TX,,TOTAL PERSONS
0000,48,001,000,2,,6615,5120,4350,1040,360,75,620,084,2083,+,,Anderson County,TX,,SPANISH/HISPANIC/LATINO
0000,48,003,000,1,,13005,8915,8100,2090,600,175,290,741,2917,,,Andrews County,TX,,TOTAL PERSONS
0000,48,003,000,2,,5215,3065,2295,1955,585,175,260,722,2991,*,,Andrews County,TX,,SPANISH/HISPANIC/LATINO
0000,48,005,000,1,,80130,58080,54910,4670,1630,215,1595,297,1319,,,Angelina County,TX,,TOTAL PERSONS
0000,48,005,000,2,,11280,6900,4105,3370,1215,205,325,221,1687,+,,Angelina County,TX,,SPANISH/HISPANIC/LATINO
0000,48,007,000,1,,22495,17130,16585,2655,765,185,370,461,2418,,,Aransas County,TX,,TOTAL PERSONS
0000,48,007,000,2,,4595,2880,2555,1920,460,125,195,277,2717,+,,Aransas County,TX,,SPANISH/HISPANIC/LATINO
0000,48,009,000,1,,8855,6370,6270,225,70,4,70,112,571,,,Archer County,TX,,TOTAL PERSONS
0000,48,009,000,2,,405,230,145,80,30,4,10,048,1333,+,,Archer County,TX,,SPANISH/HISPANIC/LATINO
0000,48,011,000,1,,2150,1590,1580,50,10,0,10,063,000,,,Armstrong County,TX,,TOTAL PERSONS
0000,48,011,000,2,,,,,,,,,,,+,,Armstrong County,TX,,SPANISH/HISPANIC/LATINO
0000,48,013,000,1,,38630,26380,25515,12560,4260,1015,1610,1670,2383,,,Atascosa County,TX,,TOTAL PERSONS
0000,48,013,000,2,,22675,14385,13685,11540,3985,1010,1495,1562,2535,*,,Atascosa County,TX,,SPANISH/HISPANIC/LATINO
0000,48,015,000,1,,23590,17225,16230,1985,640,120,420,394,1875,,,Austin County,TX,,TOTAL PERSONS
0000,48,015,000,2,,3790,2270,1370,1060,430,105,160,265,2442,+,,Austin County,TX,,SPANISH/HISPANIC/LATINO
0000,48,017,000,1,,6595,4600,3995,1215,335,70,150,839,2090,,,Bailey County,TX,,TOTAL PERSONS
0000,48,017,000,2,,3145,1880,1290,1125,330,70,120,826,2121,*,,Bailey County,TX,,SPANISH/HISPANIC/LATINO
0000,48,019,000,1,,17645,13295,12960,1670,385,75,145,297,1948,,,Bandera County,TX,,TOTAL PERSONS
0000,48,019,000,2,,2375,1550,1390,1010,260,70,90,201,2692,+,,Bandera County,TX,,SPANISH/HISPANIC/LATINO
0000,48,021,000,1,,57735,41650,38610,6405,1690,300,735,438,1775,,,Bastrop County,TX,,TOTAL PERSONS
0000,48,021,000,2,,13850,8750,6030,4750,1290,290,435,334,2248,+,,Bastrop County,TX,,SPANISH/HISPANIC/LATINO
0000,48,023,000,1,,4095,3155,3115,295,55,4,65,177,727,,,Baylor County,TX,,TOTAL PERSONS
0000,48,023,000,2,,,,,,,,,,,+,,Baylor County,TX,,SPANISH/HISPANIC/LATINO
0000,48,025,000,1,,32360,24830,24560,10985,3570,765,1290,1454,2143,,,Bee County,TX,,TOTAL PERSONS
0000,48,025,000,2,,17460,12350,12160,10195,3335,715,1005,1358,2144,*,,Bee County,TX,,SPANISH/HISPANIC/LATINO
0000,48,027,000,1,,237975,169310,161365,25050,6600,765,2135,409,1159,,,Bell County,TX,,TOTAL PERSONS
0000,48,027,000,2,,39695,24895,21035,15250,4040,640,1080,250,1584,+,,Bell County,TX,,SPANISH/HISPANIC/LATINO
0000,48,029,000,1,,1392930,997650,921860,390015,108830,15470,26180,1181,1421,,,Bexar County,TX,,TOTAL PERSONS
0000,48,029,000,2,,757005,505850,443085,346535,98165,14940,22880,1065,1522,*,#,Bexar County,TX,,SPANISH/HISPANIC/LATINO
0000,48,031,000,1,,8420,6375,6145,790,235,50,95,382,2128,,,Blanco County,TX,,TOTAL PERSONS
0000,48,031,000,2,,1285,835,625,460,155,50,60,252,3226,+,,Blanco County,TX,,SPANISH/HISPANIC/LATINO
0000,48,033,000,1,,730,545,525,55,35,4,10,667,1143,,,Borden County,TX,,TOTAL PERSONS
0000,48,033,000,2,,,,,,,,,,,*,,Borden County,TX,,SPANISH/HISPANIC/LATINO
0000,48,035,000,1,,17205,13010,12640,905,315,55,165,249,1746,,,Bosque County,TX,,TOTAL PERSONS
0000,48,035,000,2,,2120,1185,860,610,255,50,100,202,1961,+,,Bosque County,TX,,SPANISH/HISPANIC/LATINO
0000,48,037,000,1,,89305,67095,66385,3500,705,60,940,106,851,,,Bowie County,TX,,TOTAL PERSONS
0000,48,037,000,2,,3810,3100,2670,1905,295,55,70,044,1864,+,,Bowie County,TX,,SPANISH/HISPANIC/LATINO
0000,48,039,000,1,,241765,172875,162065,27525,7160,955,2380,442,1334,,,Brazoria County,TX,,TOTAL PERSONS
0000,48,039,000,2,,55035,34885,26575,20345,5565,880,1500,343,1581,+,,Brazoria County,TX,,SPANISH/HISPANIC/LATINO
0000,48,041,000,1,,152415,119710,109240,13660,3530,430,1060,323,1218,,,Brazos County,TX,,TOTAL PERSONS
0000,48,041,000,2,,27225,18475,12985,8535,2360,430,635,216,1822,+,,Brazos County,TX,,SPANISH/HISPANIC/LATINO
0000,48,043,000,1,,8865,6900,6540,2690,735,210,295,1124,2857,,,Brewster County,TX,,TOTAL PERSONS
0000,48,043,000,2,,3875,2715,2435,2170,620,195,270,948,3145,*,,Brewster County,TX,,SPANISH/HISPANIC/LATINO
0000,48,045,000,1,,1790,1300,1260,160,65,20,30,516,3077,,,Briscoe County,TX,,TOTAL PERSONS
0000,48,045,000,2,,405,235,190,140,60,20,20,476,3333,+,,Briscoe County,TX,,SPANISH/HISPANIC/LATINO
0000,48,047,000,1,,7975,5460,5240,4495,1555,380,520,2968,2444,,,Brooks County,TX,,TOTAL PERSONS
0000,48,047,000,2,,7340,4940,4730,4345,1540,370,505,2939,2403,*,,Brooks County,TX,,SPANISH/HISPANIC/LATINO
0000,48,049,000,1,,37675,27975,27405,2810,730,75,500,266,1027,,,Brown County,TX,,TOTAL PERSONS
0000,48,049,000,2,,5735,3410,2960,2160,605,75,170,221,1240,+,,Brown County,TX,,SPANISH/HISPANIC/LATINO
0000,48,051,000,1,,16470,12060,11795,1600,545,90,295,462,1651,,,Burleson County,TX,,TOTAL PERSONS
0000,48,051,000,2,,2410,1505,1250,1005,400,85,135,339,2125,+,,Burleson County,TX,,SPANISH/HISPANIC/LATINO
0000,48,053,000,1,,34145,25760,24670,2400,625,100,300,253,1600,,,Burnet County,TX,,TOTAL PERSONS
0000,48,053,000,2,,5040,3030,2065,1625,500,100,140,203,2000,+,,Burnet County,TX,,SPANISH/HISPANIC/LATINO
0000,48,055,000,1,,32195,23060,22215,7175,1910,385,775,860,2016,,,Caldwell County,TX,,TOTAL PERSONS
0000,48,055,000,2,,13070,8485,7745,6450,1790,385,685,806,2151,*,,Caldwell County,TX,,SPANISH/HISPANIC/LATINO
0000,48,057,000,1,,20645,14740,13780,4110,1180,275,535,856,2331,,,Calhoun County,TX,,TOTAL PERSONS
0000,48,057,000,2,,8405,5395,4665,3435,935,260,430,679,2781,*,,Calhoun County,TX,,SPANISH/HISPANIC/LATINO
